feature,importance
Total_Energy_kWh_rolling_mean_3,0.8996280189265977
Total_Energy_kWh_diff_1,0.03578238236301669
Total_Energy_kWh_rolling_max_3,0.03520720924141195
Total_Energy_kWh_rolling_min_3,0.015078163794841167
Total_Energy_kWh_lag_2,0.002495684075034004
Electricity_J,0.002286641666610311
Electricity_kWh,0.0021573510757871175
Total_Energy_kWh_lag_1,0.00144129041107518
hour,0.0009164027715843865
Total_Energy_kWh_rolling_std_3,0.0006485854539986089
HotWater_SpaceHeating_J,0.0005007583566968403
Total_Energy_kWh_lag_3,0.00040657407171170774
HotWater_SpaceHeating_kWh,0.00039441102344278255
Total_Energy_kWh_rolling_max_6,0.0003919507852683265
SpaceHeating_J,0.0003639132926911715
Total_Energy_kWh_rolling_min_6,0.00033337815178242116
SpaceCooling_J,0.0003109160786193869
hour_sin,0.0002539403903565882
Total_Energy_kWh_rolling_max_12,0.00025390958369842913
Total_Energy_kWh_rolling_std_6,0.00016036011979485108
SpaceHeating_kWh,0.00010490091574726422
hour_cos,0.00010411088547823067
Total_Energy_kWh_rolling_mean_6,6.629802274171966e-05
HotWater_J,5.480075468047575e-05
Total_Energy_kWh_rolling_min_12,4.831467395334388e-05
HotWater_kWh,3.801680475037018e-05
Total_Energy_kWh_lag_6,3.6951091664380844e-05
Total_Energy_kWh_rolling_mean_12,3.576564465674384e-05
DIF_rolling_mean_12,3.383560396702721e-05
Total_Energy_kWh_rolling_std_12,2.831449938709453e-05
Total_Energy_kWh_lag_12,2.329765433995069e-05
Total_Energy_kWh_diff_24,2.326814345568567e-05
Total_Energy_kWh_rolling_std_24,1.845636205586976e-05
DIF_rolling_mean_6,1.515679045712834e-05
GHI_rolling_mean_12,1.4223195501444863e-05
Total_Energy_kWh_lag_24,1.4066911621765717e-05
Temperature_rolling_std_3,1.2440814318040924e-05
WindSpeed_rolling_std_3,1.1741195234279332e-05
day_of_month,1.033258008874404e-05
GHI_rolling_std_12,9.837454662528778e-06
DIF,9.789651498922436e-06
GHI_rolling_mean_24,9.686304755955352e-06
Total_Energy_kWh_rolling_max_24,8.509124309903718e-06
GHI_rolling_mean_3,8.331868365126194e-06
Total_Energy_kWh_rolling_mean_24,7.886984893973892e-06
Total_Energy_kWh_rolling_min_24,7.626801131770386e-06
WindSpeed_rolling_max_3,7.621850512978089e-06
DIF_rolling_std_6,7.55600923272446e-06
DIF_rolling_max_24,7.460044122399229e-06
DIF_rolling_std_12,7.217050294294478e-06
WindSpeed_rolling_mean_24,7.147646067804309e-06
WindSpeed_rolling_std_24,7.042903424623146e-06
GHI_rolling_std_3,6.921968073592612e-06
WindSpeed,6.830978176061314e-06
Temperature_rolling_std_6,6.819276053703487e-06
WindSpeed_rolling_min_6,5.892908234882412e-06
WindSpeed_rolling_max_24,5.87346698592137e-06
Temperature_rolling_std_24,5.852060581227219e-06
Temperature_x_hour,5.759438992274263e-06
WindSpeed_rolling_min_12,5.39554796296093e-06
DIF_rolling_std_3,5.047948768122221e-06
WindSpeed_rolling_std_6,5.043743135702193e-06
DIF_rolling_mean_24,4.841959685892631e-06
WindSpeed_rolling_std_12,4.767770166923485e-06
DIF_rolling_max_12,4.746370811918329e-06
Temperature_rolling_std_12,4.377946344861593e-06
DIF_rolling_mean_3,4.108781539427246e-06
DNI_rolling_mean_24,3.968067044558939e-06
WindSpeed_rolling_mean_12,3.7132731289435515e-06
Temperature_x_WindSpeed,3.7018279876346456e-06
DIF_rolling_std_24,3.667480875625296e-06
WindSpeed_rolling_min_3,3.544001321248316e-06
Temperature_rolling_mean_24,3.4190292976955823e-06
DIF_rolling_min_3,3.3703634325373673e-06
WindSpeed_rolling_min_24,3.295803097480846e-06
day_of_week,3.1531412671050603e-06
month_sin,3.0653703148861087e-06
Temperature_rolling_min_24,3.0299546982750862e-06
DIF_rolling_min_6,2.9554372864632563e-06
DNI_rolling_std_6,2.9016075713273595e-06
DIF_rolling_max_3,2.8990902207993713e-06
DNI_rolling_std_3,2.8337756673636086e-06
DIF_rolling_max_6,2.78971277394387e-06
Temperature_rolling_max_24,2.5957292406659375e-06
WindSpeed_rolling_max_6,2.5591724080739374e-06
DNI_rolling_mean_3,2.53033089407471e-06
GHI_rolling_mean_6,2.2151258395259384e-06
DNI_rolling_mean_12,2.171207485872044e-06
is_weekend,2.1305657935967e-06
WindSpeed_rolling_max_12,2.0786167340780022e-06
Temperature_rolling_mean_6,1.7951324937865548e-06
WindSpeed_rolling_mean_3,1.7836472919551456e-06
day_cos,1.6163621429882952e-06
DNI,1.6124944886043444e-06
Temperature,1.6045179088414322e-06
GHI_rolling_min_3,1.586661267339073e-06
DNI_rolling_max_12,1.5652567603023125e-06
Temperature_rolling_mean_12,1.5080774296172373e-06
GHI_rolling_std_24,1.486806214206699e-06
Temperature_rolling_min_12,1.4690561379428407e-06
GHI,1.4685645215347177e-06
GHI_rolling_max_24,1.4248266955639048e-06
Temperature_rolling_min_6,1.3957744669093229e-06
WindSpeed_rolling_mean_6,1.336069562357923e-06
GHI_rolling_std_6,1.2387592400842345e-06
month_cos,1.2049837509389572e-06
month,1.1132883370423463e-06
DNI_rolling_max_3,1.070440416813128e-06
day_sin,1.0379592626410018e-06
DNI_rolling_max_6,1.0273960643613288e-06
DNI_rolling_max_24,9.828685914471316e-07
GHI_rolling_max_6,8.864394554634179e-07
DNI_rolling_mean_6,8.847820439692222e-07
DNI_rolling_std_12,8.249831629536088e-07
Temperature_rolling_max_12,6.674252339644139e-07
Temperature_rolling_max_3,5.750757683919467e-07
GHI_rolling_max_3,5.234257782509319e-07
Temperature_rolling_min_3,4.982656841599441e-07
DNI_rolling_min_6,4.822067124834795e-07
GHI_rolling_min_6,4.320171197106461e-07
GHI_rolling_max_12,3.7355021193706003e-07
Temperature_rolling_mean_3,3.698797542902732e-07
Temperature_x_is_weekend,3.3360835906007847e-07
DNI_rolling_min_3,3.2435083019221254e-07
Temperature_rolling_max_6,2.991281151663423e-07
DNI_rolling_std_24,2.9676971488996756e-07
season,1.384795370962193e-07
DIF_rolling_min_12,3.576202910474859e-08
GHI_rolling_min_12,8.186156221274572e-09
SpaceCooling_kWh,0.0
DNI_rolling_min_24,0.0
DNI_rolling_min_12,0.0
GHI_rolling_min_24,0.0
DIF_rolling_min_24,0.0
